Date,Day_of_the_week,App,Minutes,Category
08/27,Sunday,INSTAGRAM,50,Social Media
08/27,Sunday,MESSAGES,39,Other
08/27,Sunday,YOUTUBE,38,Social Media
08/27,Sunday,TIKTOK,28,Social Media
08/27,Sunday,SPOTIFY,12,Entertainment
08/28,Monday,MAPS,124,Travel
08/28,Monday,SPOTIFY,32,Entertainment
08/28,Monday,TIKTOK,18,Social Media
08/28,Monday,INSTAGRAM,13,Social Media
08/29,Tuesday,TIKTOK,49,Social Media
08/29,Tuesday,INSTAGRAM,35,Social Media
08/29,Tuesday,SPOTIFY,32,Entertainment
08/29,Tuesday,SAFARI,19,Other
08/29,Tuesday,GMAIL,17,Other
8/30,Wednesday,TIKTOK,105,Social Media
08/30,Wednesday,SPOTIFY,84,Entertainment
08/30,Wednesday,INSTAGRAM,45,Social Media
08/30,Wednesday,YOUTUBE,27,Social Media
08/30,Wednesday,MESSAGES,19,Other
08/30,Wednesday,SNAPCHAT,13,Social Media
8/31,Thursday,TIKTOK,63,Social Media
08/31,Thursday,YOUTUBE,46,Social Media
08/31,Thursday,SPOTIFY,39,Entertainment
08/31,Thursday,INSTAGRAM,27,Social Media
08/31,Thursday,MESSAGES,12,Other
9/1,Friday,TIKTOK,96,Social Media
09/01,Friday,INSTAGRAM,51,Social Media
09/01,Friday,MESSAGES,32,Other
09/01,Friday,SPOTIFY,15,Entertainment
09/01,Friday,SAFARI,11,Other
09/02,Saturday,MESSAGES,27,Other
09/02,Saturday,TIKTOK,22,Social Media
09/02,Saturday,INSTAGRAM,18,Social Media
09/02,Saturday,SPOTIFY,12,Entertainment
